Crypto,Date,Price,Open,High,Low,Vol.,ChangeP
Bitcoin,30-Nov-21,56882.9,57795.2,59174.4,55936.9,73.66K,-1.58%
Bitcoin,29-Nov-21,57794.8,57288.1,58855.2,56726.7,58.65K,0.88%
Bitcoin,28-Nov-21,57291.5,54758,57392.3,53448.3,49.28K,4.61%
Bitcoin,27-Nov-21,54765.9,53747.2,55280.3,53654.3,40.71K,1.93%
Bitcoin,26-Nov-21,53730.9,58937.3,59151.1,53533.5,104.03K,-8.83%
Bitcoin,25-Nov-21,58935.1,57167.1,59387.3,57029.8,56.79K,3.08%
Bitcoin,24-Nov-21,57171.7,57559.4,57697.4,55910.6,56.68K,-0.70%
Bitcoin,23-Nov-21,57573.2,56304.8,57855.1,55542.5,72.48K,2.25%
Bitcoin,22-Nov-21,56308.8,58719.7,59288.3,55656.8,76.45K,-4.10%
Bitcoin,21-Nov-21,58714.3,59724,60002.6,58528.3,40.98K,-1.68%
Bitcoin,20-Nov-21,59717.6,58080.8,59854.6,57435.3,44.53K,2.81%
Bitcoin,19-Nov-21,58083.4,56908.3,58335.9,55626.3,74.44K,1.98%
Bitcoin,18-Nov-21,56955.3,60368.2,60936.9,56524.4,100.37K,-5.65%
Bitcoin,17-Nov-21,60367.8,60074.2,60814.5,58531.9,73.93K,0.46%
Bitcoin,16-Nov-21,60089.1,63605.1,63605.6,58655.9,115.36K,-5.52%
Bitcoin,15-Nov-21,63597.9,65514.9,66311.2,63439.5,53.53K,-2.92%
Bitcoin,14-Nov-21,65508.2,64397.2,65508.2,63608.3,33.98K,1.72%
Bitcoin,13-Nov-21,64398.6,64133.3,64906,63381.4,30.34K,0.41%
Bitcoin,12-Nov-21,64134.5,64782.6,65449.7,62309.7,63.27K,-1.04%
Bitcoin,11-Nov-21,64806.7,64922.8,65583.3,64121.9,50.37K,-0.19%
Bitcoin,10-Nov-21,64932.6,66942.6,68990.6,62951.3,96.21K,-2.95%
Bitcoin,09-Nov-21,66904.4,67528.7,68493.3,66334.9,66.13K,-0.92%
Bitcoin,08-Nov-21,67527.9,63276.4,67763.3,63276.4,81.08K,6.72%
Bitcoin,07-Nov-21,63273.2,61483.8,63273.2,61347.2,34.34K,2.91%
Bitcoin,06-Nov-21,61483.9,60973.2,61543.2,60093.6,34.89K,0.84%
Bitcoin,05-Nov-21,60974.3,61411.5,62560.3,60742.4,44.46K,-0.71%
Bitcoin,04-Nov-21,61412.6,62915.4,63077.6,60742.9,49.91K,-2.39%
Bitcoin,03-Nov-21,62918.5,63223.5,63508.6,60883,61.05K,-0.48%
Bitcoin,02-Nov-21,63221.7,60912.2,64256.4,60651.5,65.26K,3.79%
Bitcoin,01-Nov-21,60915.3,61310.1,62430.1,59612.7,61.21K,-0.64%
Bitcoin,31-Oct-21,61309.6,61842.2,62393.7,60005.7,50.06K,-0.86%
Bitcoin,30-Oct-21,61840.1,62245,62338.5,60786,40.51K,-0.65%
Bitcoin,29-Oct-21,62242.8,60579.9,62952.2,60322.2,63.39K,2.74%
Bitcoin,28-Oct-21,60582.5,58437.2,62251.3,58128.1,88.47K,3.67%
Bitcoin,27-Oct-21,58438.1,60312.5,61452.9,58112.6,88.11K,-3.11%
Bitcoin,26-Oct-21,60310.8,63067.5,63275.1,59907.3,57.13K,-4.37%
Bitcoin,25-Oct-21,63067,60864.3,63694.8,60655.8,51.06K,3.62%
Bitcoin,24-Oct-21,60866.5,61308.2,61469.9,59523.7,42.67K,-0.73%
Bitcoin,23-Oct-21,61312.5,60693.2,61728.7,59738.3,37.05K,1.03%
Bitcoin,22-Oct-21,60690.3,62200.8,63699.7,60055.7,75.69K,-2.44%
Bitcoin,21-Oct-21,62210.2,66004.6,66616.9,62092.1,105.38K,-5.71%
Bitcoin,20-Oct-21,65979.1,64276.9,66967.1,63543.7,79.87K,2.65%
Bitcoin,19-Oct-21,64278.5,62030.2,64454,61451,80.16K,3.58%
Bitcoin,18-Oct-21,62056.3,61525.8,62623.6,60026.9,80.15K,0.86%
Bitcoin,17-Oct-21,61527.5,60865.5,61651.4,59143.4,53.39K,1.09%
Bitcoin,16-Oct-21,60861.1,61669.2,62329.2,60161.9,49.93K,-1.32%
Bitcoin,15-Oct-21,61672.5,57348.2,62892.8,56874.8,121.48K,7.54%
Bitcoin,14-Oct-21,57345.8,57370.4,58506.5,56866.8,59.84K,-0.06%
Bitcoin,13-Oct-21,57380.1,56014.5,57697.4,54314.4,73.62K,2.44%
Bitcoin,12-Oct-21,56015.9,57480.6,57635.7,54155.4,74.85K,-2.54%
Bitcoin,11-Oct-21,57477.3,54686.9,57814.1,54457.8,73.84K,5.10%
Bitcoin,10-Oct-21,54687.7,54942.5,56432.2,54100.8,104.43K,-0.46%
Bitcoin,09-Oct-21,54942.5,53924.1,55430.8,53711.7,64.65K,1.91%
