Date,Time,Crypto,Open,High,Low,Close,Volume,ChangeV,ChangeP
5/20/21,23:00:00,Bitcoin,41452.56000000,41727.27000000,40247.48000000,40526.64000000,4815.42928100,-25,-2.23
5/20/21,22:00:00,Bitcoin,40686.18000000,41900.00000000,39383.52000000,41451.73000000,6423.19136500,136.6,1.875
5/20/21,21:00:00,Bitcoin,39992.88000000,40829.61000000,39698.43000000,40688.48000000,2713.91590200,-34,1.739
5/20/21,20:00:00,Bitcoin,40116.04000000,40635.00000000,39638.27000000,39992.87000000,4115.18352700,-9.82,-0.3
5/20/21,19:00:00,Bitcoin,39808.32000000,40448.23000000,39532.82000000,40116.04000000,4563.59790800,-8.32,0.764
5/20/21,18:00:00,Bitcoin,39784.97000000,40018.62000000,39220.00000000,39811.84000000,4978.06213800,-34.8,0.066
5/20/21,17:00:00,Bitcoin,39311.80000000,40249.00000000,38720.00000000,39785.36000000,7636.99468500,-59.8,1.204
5/20/21,16:00:00,Bitcoin,41432.88000000,41450.00000000,38110.00000000,39311.80000000,19028.56489300,203.5,-5.11
5/20/21,15:00:00,Bitcoin,41436.50000000,41999.00000000,40891.91000000,41432.88000000,6269.39834700,-28.1,-0.01
5/20/21,14:00:00,Bitcoin,41721.02000000,42200.00000000,41223.42000000,41439.32000000,8729.81560600,-19.9,-0.65
5/20/21,13:00:00,Bitcoin,41699.99000000,42451.67000000,41351.13000000,41713.33000000,10904.79357300,-10,0.031
5/20/21,12:00:00,Bitcoin,40476.68000000,41975.00000000,40086.09000000,41699.99000000,12123.20565400,62.77,3.026
5/20/21,11:00:00,Bitcoin,40399.99000000,40690.56000000,39701.00000000,40475.17000000,7448.04373100,-16.7,0.186
5/20/21,10:00:00,Bitcoin,39932.06000000,40479.79000000,39493.20000000,40399.99000000,8945.29093800,17.03,1.173
5/20/21,9:00:00,Bitcoin,39826.97000000,40200.00000000,38700.00000000,39931.20000000,7643.56914600,28.87,0.261
5/20/21,8:00:00,Bitcoin,39959.67000000,40250.01000000,39326.01000000,39826.97000000,5930.81342800,-32.2,-0.33
5/20/21,7:00:00,Bitcoin,39681.67000000,40780.87000000,39650.00000000,39959.68000000,8751.09438900,13.63,0.693
5/20/21,6:00:00,Bitcoin,39936.75000000,40202.12000000,39199.99000000,39684.40000000,7701.16730600,7.67,-0.63
5/20/21,5:00:00,Bitcoin,39425.53000000,39970.00000000,39130.00000000,39938.91000000,7152.52440500,-16.7,1.302
5/20/21,4:00:00,Bitcoin,38340.01000000,39780.00000000,38202.11000000,39425.54000000,8595.24168400,20.27,2.828
5/20/21,3:00:00,Bitcoin,38051.35000000,38599.00000000,37838.20000000,38341.04000000,7146.53606500,-15.5,0.761
5/20/21,2:00:00,Bitcoin,36971.95000000,38300.00000000,36834.83000000,38051.34000000,8464.28150800,-43.1,2.915
5/20/21,1:00:00,Bitcoin,35825.80000000,37500.00000000,35519.99000000,36973.51000000,14885.31230400,-17.5,3.228
5/20/21,0:00:00,Bitcoin,36671.23000000,38180.00000000,34850.00000000,35817.31000000,18051.56914000,73.29,-2.37
5/19/21,23:00:00,Bitcoin,39070.57000000,39264.46000000,36600.01000000,36690.09000000,10416.87819100,41.24,-6.13
5/19/21,22:00:00,Bitcoin,38777.05000000,39800.00000000,38014.01000000,39090.15000000,7374.80860100,-19.3,0.821
5/19/21,21:00:00,Bitcoin,38222.20000000,38956.99000000,37032.96000000,38771.77000000,9138.80856100,-11.2,1.45
5/19/21,20:00:00,Bitcoin,39337.45000000,40200.00000000,37962.91000000,38217.41000000,10297.23351500,5.168,-2.86
5/19/21,19:00:00,Bitcoin,37961.01000000,39499.94000000,37711.00000000,39342.93000000,9791.17257100,-19.4,3.64
5/19/21,18:00:00,Bitcoin,39366.87000000,39616.04000000,37600.00000000,37961.02000000,12160.44933800,-25.3,-3.58
5/19/21,17:00:00,Bitcoin,39558.79000000,40442.00000000,38866.02000000,39370.61000000,16280.30895300,-34.8,-0.53
5/19/21,16:00:00,Bitcoin,37310.14000000,40118.81000000,36111.00000000,39580.68000000,24998.73107100,15.44,6.061
5/19/21,15:00:00,Bitcoin,37501.89000000,37990.00000000,36414.74000000,37318.52000000,21654.71782700,-10.5,-0.54
5/19/21,14:00:00,Bitcoin,35863.06000000,37598.82000000,33993.70000000,37521.32000000,24199.62019700,-45.2,4.623
5/19/21,13:00:00,Bitcoin,35234.62000000,38000.00000000,30000.00000000,35863.06000000,44239.81177800,42.95,1.783
5/19/21,12:00:00,Bitcoin,38700.00000000,39295.51000000,32488.89000000,35234.62000000,30946.52666400,18.83,-8.95
5/19/21,11:00:00,Bitcoin,39432.42000000,39664.71000000,36333.00000000,38700.00000000,26040.52767300,187.4,-1.85
5/19/21,10:00:00,Bitcoin,40324.64000000,40442.95000000,38886.01000000,39432.27000000,9060.05201400,70.26,-2.21
5/19/21,9:00:00,Bitcoin,40462.39000000,40708.97000000,40028.62000000,40324.64000000,5321.02228600,-26.4,-0.34
5/19/21,8:00:00,Bitcoin,40354.98000000,40888.00000000,39849.49000000,40465.04000000,7231.89589600,-31,0.231
5/19/21,7:00:00,Bitcoin,39383.29000000,40575.25000000,38550.00000000,40371.44000000,10481.12453200,26.34,2.521
5/19/21,6:00:00,Bitcoin,39200.00000000,39878.33000000,39102.00000000,39378.54000000,8295.85310900,-34,0.455
5/19/21,5:00:00,Bitcoin,39307.66000000,39941.00000000,38934.69000000,39200.01000000,12574.52393400,-29,-0.27
5/19/21,4:00:00,Bitcoin,40591.99000000,40846.97000000,38604.93000000,39307.66000000,17716.26597400,94.17,-3.16
5/19/21,3:00:00,Bitcoin,40324.57000000,41049.99000000,40125.00000000,40591.15000000,9124.06310300,6.032,0.659
5/19/21,2:00:00,Bitcoin,40843.53000000,41299.98000000,40275.00000000,40325.01000000,8604.97640900,-35.5,-1.26
5/19/21,1:00:00,Bitcoin,42610.25000000,42699.44000000,40500.15000000,40843.52000000,13344.37693200,164,-4.14
5/13/21,22:00:00,Bitcoin,49564.93000000,49879.77000000,48838.38000000,48857.72000000,3571.57194500,37.73,-1.42
5/13/21,21:00:00,Bitcoin,49304.11000000,49866.03000000,49000.00000000,49564.94000000,2593.16505300,-36.3,0.528
5/13/21,20:00:00,Bitcoin,48569.97000000,49450.00000000,48367.56000000,49304.15000000,4073.87713300,-17.2,1.513
5/13/21,19:00:00,Bitcoin,47844.04000000,49384.20000000,47832.38000000,48568.85000000,4923.94550700,-22.7,1.514
5/13/21,18:00:00,Bitcoin,48465.11000000,48964.41000000,47672.59000000,47844.04000000,6375.31315100,-45.1,-1.28
5/13/21,17:00:00,Bitcoin,48635.65000000,48888.00000000,47000.00000000,48465.11000000,11630.74017900,93.61,-0.35
5/13/21,16:00:00,Bitcoin,49627.63000000,50429.99000000,48434.20000000,48635.40000000,6007.19786500,20.65,-1.99
5/13/21,15:00:00,Bitcoin,50288.68000000,50394.20000000,49458.68000000,49627.64000000,4978.78325300,32.66,-1.31
5/13/21,14:00:00,Bitcoin,50500.01000000,50884.34000000,50207.56000000,50288.69000000,3752.91121300,-5.47,-0.41
5/13/21,13:00:00,Bitcoin,50159.29000000,50585.52000000,49594.00000000,50500.00000000,3970.49193500,-13.4,0.681
5/13/21,12:00:00,Bitcoin,49777.01000000,50400.00000000,49528.46000000,50158.05000000,4589.17070300,-25.1,0.765
5/13/21,11:00:00,Bitcoin,49176.56000000,49909.80000000,48457.12000000,49777.01000000,6132.18686700,-30.1,1.23
5/13/21,10:00:00,Bitcoin,49212.92000000,50243.61000000,48901.00000000,49171.76000000,8782.32589300,1.841,-0.08
5/13/21,9:00:00,Bitcoin,50015.83000000,50354.28000000,48747.89000000,49212.91000000,8623.51647100,86.79,-1.6
5/13/21,8:00:00,Bitcoin,50879.73000000,50950.00000000,49938.44000000,50015.82000000,4616.64482500,27.1,-1.69
5/13/21,7:00:00,Bitcoin,51332.74000000,51367.19000000,50605.38000000,50879.72000000,3632.05709400,-8.93,-0.88
5/13/21,6:00:00,Bitcoin,50884.09000000,51335.00000000,50760.42000000,51332.74000000,3988.38290000,6.157,0.881
5/13/21,5:00:00,Bitcoin,50445.87000000,51076.41000000,50444.00000000,50884.09000000,3757.04889900,-20.8,0.868
5/13/21,4:00:00,Bitcoin,50461.99000000,50986.22000000,50282.00000000,50445.87000000,4747.28509800,-24,-0.03
5/13/21,3:00:00,Bitcoin,50257.78000000,50490.09000000,49544.00000000,50461.99000000,6253.54376300,-4.92,0.41
5/13/21,2:00:00,Bitcoin,50522.52000000,50829.98000000,50000.00000000,50255.84000000,6577.47817800,-34.8,-0.52
5/13/21,1:00:00,Bitcoin,49661.12000000,50600.00000000,49305.43000000,50522.52000000,10088.97455000,-49.2,1.722
5/13/21,0:00:00,Bitcoin,49537.15000000,50630.00000000,46000.00000000,49666.99000000,19866.03039300,41.91,0.071
